Titres opération et projet lauréat,Thématique
Développer la pratique sportive dans le 19e Homologation du terrain de rugby de Ladoumègue,Sport
Réaménager des établissements culturels ouverts à la jeunesse Végétalisons Paris Centre : Bibliothèque La Canopée lieu de fraîcheur,Culture et patrimoine
Solidarité avec les personnes vulnérables Ordinateurs et matériel de gym pour sans-abri,Solidarités
Aménagements ludiques et sportifs pour les quartiers populaires Fit'Truck : une salle de sport mobile,Sport
Bien grandir dans le 11e Bien grandir dans le 11e /  Des jardins comestibles pour les enfants et familles du 11ème/Cours Oasis EM Voltaire,Education et jeunesse
Lutter contre toutes les pollutions Travaux jardin partagé square Raymond Souplex (18e).,Environnement
Amplifier la pratique sportive dans le 5e Parcours de santé en plein air,Sport
Faciliter les déplacements à vélo Pérennisation feu carrefour quai de conti / pont neuf,Mobilités
Un nouvel espace d’escalade au centre sportif La Plaine Nouveaux espaces d'escalade au centre sportif de la plaine,Sport
Soutenons le dynamisme associatif et solidaire de nos quartiers Un café éphémère dans le jardin Herold,Solidarités
Destination 2024 : le 19e à l'heure du sport Des balises de courses d'orientation dans des parcs du 19e,Sport
Des vidéoprojecteurs interactifs pour les écoles du 6e Des vidéoprojecteurs interactifs pour l'EP St Benoit,Education et jeunesse
Du matos’ pour les assoc’ ! Achat d'un nouveau bus pour l’association les enfants du canal,Solidarités
"Marcher et pédaler en toute sécurité Divers aménagements dans le 19e : sécuriser, protéger et ralentir",Mobilités
Sécuriser et aménager pour favoriser les mobilités douces Sécurisation passage piéton carrefour Ordener Montcalm,Prévention et sécurité
Améliorer le quotidien des habitant·e·s du quartier Bel-Air Nord école durable = école plus agréable GS Lamoricière,Cadre de vie
Une ville plus belle et plus propre Remplacement des souffleurs de déchets,Propreté
Une ville plus belle et plus propre Embellir les murs existants du périphérique avec de nouvelles peintures murales,Propreté
Végétaliser et améliorer les lieux publics dans les quartiers Végétaliser le mur du jardin pédagogique de l'EP Goutte d'Or,Cadre de vie
Végétaliser et améliorer les lieux publics dans les quartiers Rendre la place passage Championnet plus accueillante / pose d’un banc et d’arceaux à vélos,Cadre de vie
"Fontaines et piscine, plus de fraîcheur dans le 5e 01 - Fontaine du Pot de fer",Cadre de vie
Aider les sans-abris et lutter contre la précarité menstruelle /1102/Aménagement locaux et achat matériel médical Emmaüs Rue Bichat,Solidarités
Aider les sans-abris et lutter contre la précarité menstruelle Installation chargeurs téléphones sécurisés,Solidarités
Adoucir et rafraîchir les espaces verts du 14e Des sonomètres pour lutter contre le bruit,Environnement
Des projets pour la jeunesse du 20e Des équipements techniques et pédagogiques pour Archipélia,Education et jeunesse
#TousRécup Réseaux Franciliens du Réemploi/Invest Mon Pti Pyhton,Solidarités
Des projets éducatifs pour le 20e -Plus de cours Oasis pour les écoles du 20e arrondissement- polyvalente Le Vau,Education et jeunesse
Des projets éducatifs pour le 20e Plus de cours Oasis pour les écoles du 20e arrondissement- polyvalente cité champagne,Education et jeunesse
Des cours d'écoles et de collèges végétalisées et Oasis EM Léon Schwartzbenberg,Environnement
Des cantines plus agréables pour nos enfants dans 11 écoles Reliquat: GS Küss,Education et jeunesse
Prolonger la coulée verte quai de Grenelle Prolonger la coulée verte quai de Grenelle,Environnement
SAccueillir et faciliter la pratique du sport des jeunes en errance Equipement de l'accueil de jour dans le local d'Aurore Itinérances,Solidarités
Permettre l'apprentissage du vélo et du code de la route : rénovation du TEP Jenner Permettre l'apprentissage du vélo et du code de la route : rénovation du TEP Jenner,Sport
Pour des écoles plus vertes ! Décoration et aménagement de l'EM Maraichers,Environnement
Equiper les écoles des quartiers populaires Végétalisation et aménagement de  l'EP Forest,Education et jeunesse
Pour un 20e verdoyant 02-Pour des espaces verts rénovés - Agrès Belleville/Villa Ottoz,Cadre de vie
Des espaces à jouer pour nos enfants et des jardins plus agréables à vivre 04-Rénovation du trottoir 91 rue Curial,Cadre de vie
Offrons des écoles plus sereines aux écolier·es du 12e Des cantines moins bruyantes EM Traversière,Education et jeunesse
Equiper les habitants du 18e pour les activités solidaires Atelier de menuiserie et upcycling/ESS/design,Solidarités
Equiper les habitants du 18e pour les activités solidaires Implanter un atelier de bricolage solidaire (Activ 18),Solidarités
#TousRécup Les Grands Moyens Construction,Solidarités
De la nature et du sport dans les écoles de nos quartiers Cour Oasis à l'EM rue du Maroc,Education et jeunesse
Soutenons les projets portés par les associations de nos quartiers Aménagement numérique,Solidarités
Moderniser les équipements sportifs du 18ème Couvrir les deux terrains de sport au square Marcel Sembat,Sport
Bien grandir dans le 11e Bien grandir dans le 11e /  Des jardins comestibles pour les enfants et familles du 11ème/Cours Oasis GS Godefroy Cavaignac,Education et jeunesse
#TousRécup Coup de Pousses,Solidarités
"#RefabriquonsÀParis RepareSeb, aménagement local P. Chapelle",Attractivité et emploi
#TousRécup ArtStock - réemploi de matériaux de la filière culturelle et événementielle,Solidarités
#TousRécup Fondation Apprentis d'Auteil - aménagement de l'entrepôt logistique,Solidarités
#RefabriquonsÀParis CAT Leopold Bellan de la Fondation Bellan - Boutique de réparation de vélo dans le 13°,Attractivité et emploi
Equiper les habitants du 18e pour les activités solidaires Re touchons du bois - Aménagement,Solidarités
#TousRécup La Petite Rockette - Deux nouveaux services écologiques à la Petite Rockette Montgallet,Solidarités
Créer une cuisine partagée au centre d’hébergement de la rue d’Aix Accès à une alimentation de qualité pour tous !,Solidarités
Restaurer les fresques de St-Valère (Basilique Ste-Clotilde) Restaurer les fresques de la chapelle SaintValère de la basilique SainteClotilde,Culture et patrimoine
Compléter la restauration de la fontaine Charlemagne Restaurer la fontaine Charlemagne,Culture et patrimoine
Equiper des associations de solidarité Equiper les associations du quartier,Solidarités
Tissons du lien entre écoliers et seniors du 14e Achat de vélos cargos et de matériel,Solidarités
Rénover les équipements sportifs du 20e Centre sportif Louis Lumière,Sport
De nouveaux espaces de sports et de loisirs CPA Mathis,Education et jeunesse
Equiper les écoles des quartiers prioritaires de tableaux numériques Equiper toutes les écoles des quartiers prioritaires du 10e de Tableaux Numériques Interactifs (TNI)/EE Faubourg St Denis,Education et jeunesse
Profiter des jardins en famille 02 - Une ombrière dans l'espace de jeux pour enfants du jardin Truillot,Cadre de vie
Rénover les écoles du 20e Rénover les écoles du 20e / EE Josseaume - Sanitaires,Education et jeunesse
Rénover les écoles du 20e Rénover les écoles du 20e / EM Pelleport - Sanitaires,Education et jeunesse
Culture et animation dans les quartiers populaires du 20e Matériel sonore à mutualiser pour Septembre Indien,Culture et patrimoine
De la couleur sur nos murs Rénovation des murs,Culture et patrimoine
Améliorer le cadre de vie de la Goutte D'Or Végétalisation école Goutte d'Or,Cadre de vie
Faire vivre la solidarité dans le 11e Expérimentons un tiers lieu citoyen pour reconnecter les habitants de Bastille-Charonne,Solidarités
Equiper des associations de solidarité Achat de vélos cargo pour les maraudes de l'association ADSF,Solidarités
Promouvons une alimentation saine et durable Installation d'une serre pédagogique dans le groupe scolaire Briançon,Santé
"Diminuer les déchets, augmenter la récup’ HAWA au féminin - travaux boutique dans le 6e",Propreté
Augmenter l'offre sportive sur le TEP Charlemagne Augmenter l'offre sportive sur le TEP Charlemagne,Sport
Rénover la cour de récréation de l'école Etienne Marcel Cour de récération école polyvalente Etienne Marcel,Education et jeunesse
Piétonniser et végétaliser la rue du Pélican Piétonniser et végétaliser la rue du Pélican,Cadre de vie
"Verdir la placette à l'angle de la rue de Crimée, du quai de Seine et de la rue Duvergier Aménagement Place de l'Edit de Nantes (angle Crimée Duvergier)",Cadre de vie
"Embellir l'école maternelle 29, rue Mouffetard Cour récréation école maternelle MOUFFETARD",Education et jeunesse
Elargissement des trottoirs de la rue des Maraîchers Maraichers,Cadre de vie
La plus belle vue de Paris La plus belle vue de Paris,Cadre de vie
Végétaliser les pieds d'arbres du 11e Végétalisation des pieds d'arbres faubourg Saint-Antoine,Environnement
Un mur végétal rue Lacépède Un mur végétal rue Lacépède,Cadre de vie
A la découverte de Paris ! - Parcours promenade dans le 16e Parcours promenade 16e,Culture et patrimoine
Embellissement du jardin du Ranelagh Restauration sculptures jardin Ranelagh,Culture et patrimoine
Le Mur de la Paix FRESQUE COLLEGE EDMOND MICHELET,Culture et patrimoine
Aménager le parvis de l’église Notre-Dame-de-Lorette et  la rue Bourdaloue Aménagement du parvis de l’église Notre-Dame-de-Lorette et de la rue Bourdaloue,Cadre de vie
"Pour une rue du Grenier Saint-Lazare conviviale, apaisée et verte Réaménagement du coté pair de la rue du Grenier Saint-Lazare",Cadre de vie
Rénovation de la piste cyclable sur le boulevard Malesherbes Piste Cyclable sur le Boulevard Malesherbes,Mobilités
Un espace de don d’objets en libre-service dans le quartier Fontaine au Roi Boite à dons (Régie de Quartier),Solidarités
+ de végétal dans les quartiers populaires Jardin Gandon,Environnement
"Du vert à tous les étages 52-54, rue Nollet 17e",Environnement
Des kiosques pour faire la fête Square du Temple - Kiosque à musique,Cadre de vie
Des kiosques pour faire la fête Square Jean XXIII - Kiosque à musique,Cadre de vie
"Des kiosques pour faire la fête Square d'Anvers, Kiosque à musique",Cadre de vie
"Des kiosques pour faire la fête Square de la Salamandre, Kiosque à musique",Cadre de vie
Favoriser le sport dans les jardins du 17e Favoriser le sport dans les jardins du 17e / sq. des Epinettes,Cadre de vie
Végétalisation des murs et des rues du 14e arrondissement Végétalisation des murs et des rues du 14e arrondissement / mur végétalisé retombant au dessus de l’escalier donnant sur l’avenue René Coty,Environnement
Végétaliser les trottoirs du 15e Végétaliser les trottoirs du 15ème / 03-plantations rue Lecourbe,Cadre de vie
Du vert pour le 13e Du vert pour le 13e /6 - Réaliser des jardins publics sur la place Jeanne d'Arc,Environnement
Des jardins sur les murs Des jardins sur les murs / 75020 - mur végétalisé RUE DU TELEGRAPHE,Environnement
Les œuvres d'art investissent la rue Mur peint 13ème arrondissement,Culture et patrimoine
Les œuvres d'art investissent la rue Garer sa trottinette au conservatoire du 10e,Culture et patrimoine
De l’art dans mon quartier : des rues hautes en couleur Plaque Jean Morin,Culture et patrimoine
Rénovation des sanitaires de l'école Ampère Sanitaires groupe scolaire AMPERE,Education et jeunesse
Réaménager deux espaces verts de proximité du cœur du 13e Réaménager deux espaces verts de proximité du cœur du 13ème / jardin des Deux Moulins,Cadre de vie
Remise en eau de la fontaine angle rues de Seine / Jacob REMISE EN EAU DE LA FONTAINE ANGLE DES RUES DE SEINE / JABOB,Culture et patrimoine
Pour un Grenier St Lazare (impair) vert rendu aux piétons Pour un Grenier St Lazare (impair) vert rendu aux piétons,Cadre de vie
Des cantines plus agréables pour nos enfants dans 5 écoles du 13e Réfectoire école élémentaire FAGON,Education et jeunesse
La contre-allée Lazareff rejoint Montorgueil La Contre-allée Lazareff rejoint Montorgueil,Cadre de vie
Un espace de coworking sur la petite ceinture ferroviaire Un espace de coworking sur la petite ceinture ferroviaire,Attractivité et emploi
#SousLesPavésDesFleurs Planter des arbres devant les écoles,Environnement
De nouveaux espaces ludiques pour les parcs du 19e De nouveaux espaces ludiques pour les parcs du 19e / changer les jeux pour enfants Square Petit,Cadre de vie
Aménager des places et placettes dans l’arrondissement Placette de la rue Lally-Tollendal,Cadre de vie
