Titre de l'opération,Thématique
matériel de nettoiement silencieux et non polluant Batterie Souffleuses électriques 5,Propreté
matériel de nettoiement silencieux et non polluant Batterie Souffleuses électriques 10,Propreté
Stiores extérieurs élémentaire 83 avenue michel bizot,Education et jeunesse
Cantine Ecole élementaire Maroc,Education et jeunesse
Rénovation de la Danse de la fontaine émergente,Culture et patrimoine
Composteur Square Eloise et Abélard,Propreté
Equiper l'association Onze mille potes,Solidarités
Des espaces ludiques dans toutes les écoles du XXème,Education et jeunesse
Des espaces ludiques dans toutes les écoles du XXème,Education et jeunesse
Des espaces ludiques dans toutes les écoles du XXème,Education et jeunesse
Equiper les écoles du 14èm- EE square A.Fournier,Education et jeunesse
Equiper les écoles du 14ème -EE Prisse-d'Avennes,Education et jeunesse
Equiper les écoles du 14ème-EE Sévero,Education et jeunesse
La Boîte à Jouer-option jeux d'exterieurs,Education et jeunesse
La Boîte à Jouer-option jeux d'exterieurs,Education et jeunesse
La boite à jouer,Education et jeunesse
Des chaussées rénovées ! - Rue de Clisson,Cadre de vie
Des chaussées rénovées ! - Rue Pierre-Joseph Desault,Cadre de vie
Projet OASIS école Emile Levassoir,Environnement
BOULANGERIE AA,Attractivité et emploi
LA ROYALE,Attractivité et emploi
Composteur Le Bois Dormoy 18ème,Propreté
18 rues sans mégots cendriers sondage,Propreté
Cultiver dans la crèche Saint Medard,Environnement
Cultiver dans la crèche Javelot,Environnement
Cultiver dans la crèche Jean Fautrier,Environnement
Cultiver dans la crèche Broussais,Environnement
Cultiver dans la crèche Lacordaire,Environnement
Cultiver dans la crèche Massé Pigalle,Environnement
Cultiver dans la crèche Léon Schwartzenberg,Environnement
Paris aux piétons / Création de Parklets / Rue des Quatre Frères Peignot (Asso Dédale),Cadre de vie
Paris aux piétons / Création de Parklets / Rue André Messager,Cadre de vie
NEAG 3,Solidarités
Bureaux 103 - toiture 1,Environnement
Cultiver en ville / Subvention Paris Habitat - résidence 28 rue Brillat Savarin,Environnement
#SousLesPavésDesFleurs / Mares et espaces de biodiversité dans les QP / Jardin Vercingétorix - Brune,Environnement
Echange culturel par la couleur dans la rue de l’échiquier,Cadre de vie
"La Cuisine sur Place, atelier culinaire en extérieur pour tous",Solidarités
POUR UN CONSERVATOIRE PLUS ADAPTE ET EQUIPE,Culture et patrimoine
Des nouveaux jeux et des équipements vélo au square Jacques-Bidaut,Education et jeunesse
Plus d'équipements dans nos écoles EM Théodore Deck,Education et jeunesse
Expérimentation d'aires de dépose et d'échange,Mobilités
Des panneaux photovoltaïques sur les bâtiments municipaux,Environnement
Un terrain couvert pour bel air nord,Education et jeunesse
L'école maternelle André Bréchet rénovée !,Education et jeunesse
Balisage du chemin de Saint-Jacques de Compostelle,Culture et patrimoine
Pour que la musique baroque rayonne au conservatoire,Culture et patrimoine
Restauration et mise aux normes de sécurité des horloges de l’église St-François-Xavier,Culture et patrimoine
Création de places de stationnement 2 roues,Mobilités
Des stationnements pour vélos aux entrées du Parc MLK / création d'une aire de stationnement vélos à l'intérieur du Parc,Prévention et sécurité
Murs végétalisés le long des clôtures du boulevard MacDonald,Environnement
Rénovation du city stade Claude Bernard,Cadre de vie
"Moi et mes enfants, boulevard Auriol (PH)",Solidarités
Une voirie pour toutes les mobilités / Avenue du général Laperrine,Mobilités
"Une voirie pour toutes les mobilités /Pourtour de la porte de la Villette : chemin de fer, commanderie",Mobilités
Renforcer la place de la biodiversité dans le 11ème / 03 - un keyhole au jardin Marcotte,Environnement
Fontaine Arceau place Mohamed V,Cadre de vie
"Cultiver en ville / Jardins partagés - Subvention à l’association Le Jardin d’Eugénie, pour jardin partagé Le P’tit Jardin",Environnement
Action 1 : installation de panneaux solaires - école Parmentier (10e),Environnement
Végétalisation,Culture et patrimoine
Fresque au square Paray,Culture et patrimoine
Essaimage des repair café à Paris (8/10),Solidarités
Poursuite de l'extension du bric à brac d'Emmaüs Défi,Attractivité et emploi
Des tableaux numériques/ EE EBLE,Education et jeunesse
Des cantines plus agréables EE 32 place Jeanne d'Arc,Education et jeunesse
Le plaisir de lire dans l' EE Ocagne,Education et jeunesse
Collège Marx Dormoy,Education et jeunesse
Ecole Dumas,Education et jeunesse
Espaces Ludiques dans les écoles du 16e,Education et jeunesse
Espaces Ludiques dans les écoles du 16e,Education et jeunesse
"Des ordis, pas des tablettes, pour les écoles du 12eme",Education et jeunesse
Equipement de jeux de cour dans les cours d'école,Education et jeunesse
Equipement de jeux de cour dans les cours d'école,Education et jeunesse
LE FLANKER,Attractivité et emploi
Des ordinateurs chauffages - la Petite Fabrique,Solidarités
De nouvelles rues intelligentes - éclairage public et stationnement,Environnement
D- SUIV 002785 - #SousLesPavésDesFleurs / Du gazon sur les trottoirs  / Débitumage Bd Ney impasse Alexandre Lecuyer,Environnement
"Aérons mieux les collèges, les écoles et les crèches",Environnement
Rénovation et accessibilité du Gymnase des Lilas,Sport
Réinsérer via la collecte à vélo des cartons usagés,Solidarités
03 - mur végétalisé sur le mur du collège Louise Michel,Environnement
Réfections chaussée St Ouen,Mobilités
Espaces d'agriculture urbaine,Environnement
Aménagement des espaces extérieurs - EE (A) Reuilly,Education et jeunesse
04 - Avenue Albert Bartholomé Réfection pieds arbres,Cadre de vie
EM de Rochechouart,Education et jeunesse
Des outils numériques dans les écoles primaires du 11 / EE Pihet,Education et jeunesse
Des outils numériques dans les écoles primaires du 11 / EE Servan,Education et jeunesse
Homologation du terrain de rugby de Ladoumègue,Sport
Végétalisons Paris Centre : Bibliothèque La Canopée lieu de fraîcheur,Culture et patrimoine
Ordinateurs et matériel de gym pour sans-abri,Solidarités
Fit'Truck : une salle de sport mobile,Sport
Bien grandir dans le 11e /  Des jardins comestibles pour les enfants et familles du 11ème/Cours Oasis EM Voltaire,Education et jeunesse
Travaux jardin partagé square Raymond Souplex (18e).,Environnement
Parcours de santé en plein air,Sport
Pérennisation feu carrefour quai de conti / pont neuf,Mobilités
Nouveaux espaces d'escalade au centre sportif de la plaine,Sport
Un café éphémère dans le jardin Herold,Solidarités
Des balises de courses d'orientation dans des parcs du 19e,Sport
Des vidéoprojecteurs interactifs pour l'EP St Benoit,Education et jeunesse
Achat d'un nouveau bus pour l’association les enfants du canal,Solidarités
"Divers aménagements dans le 19e : sécuriser, protéger et ralentir",Mobilités
Sécurisation passage piéton carrefour Ordener Montcalm,Prévention et sécurité
école durable = école plus agréable GS Lamoricière,Cadre de vie
Remplacement des souffleurs de déchets,Propreté
Embellir les murs existants du périphérique avec de nouvelles peintures murales,Propreté
Végétaliser le mur du jardin pédagogique de l'EP Goutte d'Or,Cadre de vie
Rendre la place passage Championnet plus accueillante / pose d’un banc et d’arceaux à vélos,Cadre de vie
01 - Fontaine du Pot de fer,Cadre de vie
/1102/Aménagement locaux et achat matériel médical Emmaüs Rue Bichat,Solidarités
Installation chargeurs téléphones sécurisés,Solidarités
Des sonomètres pour lutter contre le bruit,Environnement
Des équipements techniques et pédagogiques pour Archipélia,Education et jeunesse
Réseaux Franciliens du Réemploi/Invest Mon Pti Pyhton,Solidarités
-Plus de cours Oasis pour les écoles du 20e arrondissement- polyvalente Le Vau,Education et jeunesse
Plus de cours Oasis pour les écoles du 20e arrondissement- polyvalente cité champagne,Education et jeunesse
EM Léon Schwartzbenberg,Environnement
Reliquat: GS Küss,Education et jeunesse
Prolonger la coulée verte quai de Grenelle,Environnement
Equipement de l'accueil de jour dans le local d'Aurore Itinérances,Solidarités
Permettre l'apprentissage du vélo et du code de la route : rénovation du TEP Jenner,Sport
Décoration et aménagement de l'EM Maraichers,Environnement
Végétalisation et aménagement de  l'EP Forest,Education et jeunesse
02-Pour des espaces verts rénovés - Agrès Belleville/Villa Ottoz,Cadre de vie
04-Rénovation du trottoir 91 rue Curial,Cadre de vie
Des cantines moins bruyantes EM Traversière,Education et jeunesse
Atelier de menuiserie et upcycling/ESS/design,Solidarités
Implanter un atelier de bricolage solidaire (Activ 18),Solidarités
Les Grands Moyens Construction,Solidarités
Cour Oasis à l'EM rue du Maroc,Education et jeunesse
Aménagement numérique,Solidarités
Couvrir les deux terrains de sport au square Marcel Sembat,Sport
Bien grandir dans le 11e /  Des jardins comestibles pour les enfants et familles du 11ème/Cours Oasis GS Godefroy Cavaignac,Education et jeunesse
Coup de Pousses,Solidarités
"RepareSeb, aménagement local P. Chapelle",Attractivité et emploi
ArtStock - réemploi de matériaux de la filière culturelle et événementielle,Solidarités
Fondation Apprentis d'Auteil - aménagement de l'entrepôt logistique,Solidarités
CAT Leopold Bellan de la Fondation Bellan - Boutique de réparation de vélo dans le 13°,Attractivité et emploi
Re touchons du bois - Aménagement,Solidarités
La Petite Rockette - Deux nouveaux services écologiques à la Petite Rockette Montgallet,Solidarités
Accès à une alimentation de qualité pour tous !,Solidarités
Restaurer les fresques de la chapelle SaintValère de la basilique SainteClotilde,Culture et patrimoine
Restaurer la fontaine Charlemagne,Culture et patrimoine
Equiper les associations du quartier,Solidarités
Achat de vélos cargos et de matériel,Solidarités
Centre sportif Louis Lumière,Sport
CPA Mathis,Education et jeunesse
Equiper toutes les écoles des quartiers prioritaires du 10e de Tableaux Numériques Interactifs (TNI)/EE Faubourg St Denis,Education et jeunesse
02 - Une ombrière dans l'espace de jeux pour enfants du jardin Truillot,Cadre de vie
Rénover les écoles du 20e / EE Josseaume - Sanitaires,Education et jeunesse
Rénover les écoles du 20e / EM Pelleport - Sanitaires,Education et jeunesse
Matériel sonore à mutualiser pour Septembre Indien,Culture et patrimoine
Rénovation des murs,Culture et patrimoine
Végétalisation école Goutte d'Or,Cadre de vie
Expérimentons un tiers lieu citoyen pour reconnecter les habitants de Bastille-Charonne,Solidarités
Achat de vélos cargo pour les maraudes de l'association ADSF,Solidarités
Installation d'une serre pédagogique dans le groupe scolaire Briançon,Santé
HAWA au féminin - travaux boutique dans le 6e,Propreté
Augmenter l'offre sportive sur le TEP Charlemagne,Sport
Cour de récération école polyvalente Etienne Marcel,Education et jeunesse
Piétonniser et végétaliser la rue du Pélican,Cadre de vie
Aménagement Place de l'Edit de Nantes (angle Crimée Duvergier),Cadre de vie
Cour récréation école maternelle MOUFFETARD,Education et jeunesse
Maraichers,Cadre de vie
La plus belle vue de Paris,Cadre de vie
Végétalisation des pieds d'arbres faubourg Saint-Antoine,Environnement
Un mur végétal rue Lacépède,Cadre de vie
Parcours promenade 16e,Culture et patrimoine
Restauration sculptures jardin Ranelagh,Culture et patrimoine
FRESQUE COLLEGE EDMOND MICHELET,Culture et patrimoine
Aménagement du parvis de l’église Notre-Dame-de-Lorette et de la rue Bourdaloue,Cadre de vie
Réaménagement du coté pair de la rue du Grenier Saint-Lazare,Cadre de vie
Piste Cyclable sur le Boulevard Malesherbes,Mobilités
Boite à dons (Régie de Quartier),Solidarités
Jardin Gandon,Environnement
"52-54, rue Nollet 17e",Environnement
Square du Temple - Kiosque à musique,Cadre de vie
Square Jean XXIII - Kiosque à musique,Cadre de vie
"Square d'Anvers, Kiosque à musique",Cadre de vie
"Square de la Salamandre, Kiosque à musique",Cadre de vie
Favoriser le sport dans les jardins du 17e / sq. des Epinettes,Cadre de vie
Végétalisation des murs et des rues du 14e arrondissement / mur végétalisé retombant au dessus de l’escalier donnant sur l’avenue René Coty,Environnement
Végétaliser les trottoirs du 15ème / 03-plantations rue Lecourbe,Cadre de vie
Du vert pour le 13e /6 - Réaliser des jardins publics sur la place Jeanne d'Arc,Environnement
Des jardins sur les murs / 75020 - mur végétalisé RUE DU TELEGRAPHE,Environnement
Mur peint 13ème arrondissement,Culture et patrimoine
Garer sa trottinette au conservatoire du 10e,Culture et patrimoine
Plaque Jean Morin,Culture et patrimoine
Sanitaires groupe scolaire AMPERE,Education et jeunesse
Réaménager deux espaces verts de proximité du cœur du 13ème / jardin des Deux Moulins,Cadre de vie
REMISE EN EAU DE LA FONTAINE ANGLE DES RUES DE SEINE / JABOB,Culture et patrimoine
Pour un Grenier St Lazare (impair) vert rendu aux piétons,Cadre de vie
Réfectoire école élémentaire FAGON,Education et jeunesse
La Contre-allée Lazareff rejoint Montorgueil,Cadre de vie
Un espace de coworking sur la petite ceinture ferroviaire,Attractivité et emploi
Planter des arbres devant les écoles,Environnement
De nouveaux espaces ludiques pour les parcs du 19e / changer les jeux pour enfants Square Petit,Cadre de vie
Placette de la rue Lally-Tollendal,Cadre de vie
Lauréat Coup de Pouce Commerce: LIBRALIRE,Attractivité et emploi
Lauréat Coup de Pouce Commerce: SCIE ET CIE,Attractivité et emploi
Cour de récréation école élémentaire Saint Louis en L'Ile,Education et jeunesse
Hôtel insectes Jardin du Champ de Mars canton n°6,Environnement
Réfectoire école maternelle JEAN DOLENT,Education et jeunesse
Sanitaires école maternelle PAUL GERVAIS,Education et jeunesse
Réfectoire école élémentaire 165 BERCY,Education et jeunesse
Réfectoire école maternelle 167 BERCY,Education et jeunesse
Réfectoire école élémentaire BRECHE AUX LOUPS,Education et jeunesse
Réfectoire école élémentaire 57 REUILLY B,Education et jeunesse
